New York City, 40.7128, -74.0060
London, 51.5074, -0.1278
Tokyo, 35.6762, 139.6503
Paris, 48.8566, 2.3522
Sydney, -33.8688, 151.2093
Moscow, 55.7558, 37.6173
Dubai, 25.2048, 55.2708
Singapore, 1.3521, 103.8198
Rome, 41.9028, 12.4964
Berlin, 52.5200, 13.4050
Madrid, 40.4168, -3.7038
Toronto, 43.6532, -79.3832
Istanbul, 41.0082, 28.9784
Mumbai, 19.0760, 72.8777
Bangkok, 13.7563, 100.5018
Hong Kong, 22.3193, 114.1694
Seoul, 37.5665, 126.9780
Chicago, 41.8781, -87.6298
Amsterdam, 52.3676, 4.9041
Kuala Lumpur, 3.1390, 101.6869
Vienna, 48.2082, 16.3738
San Francisco, 37.7749, -122.4194
Jakarta, -6.2088, 106.8456
Buenos Aires, -34.6037, -58.3816
Mexico City, 19.4326, -99.1332
Zurich, 47.3769, 8.5417
Copenhagen, 55.6761, 12.5683
Stockholm, 59.3293, 18.0686
Cairo, 30.0444, 31.2357
Los Angeles, 34.0522, -118.2437
Barcelona, 41.3851, 2.1734
Prague, 50.0755, 14.4378
Athens, 37.9838, 23.7275
Helsinki, 60.1699, 24.9384
Warsaw, 52.2297, 21.0122
Lisbon, 38.7223, -9.1393
Dublin, 53.3498, -6.2603
Rio de Janeiro, -22.9068, -43.1729
Brussels, 50.8503, 4.3517
Oslo, 59.9139, 10.7522
Budapest, 47.4979, 19.0402
Vancouver, 49.2827, -123.1207
Frankfurt, 50.1109, 8.6821
Milan, 45.4642, 9.1900
Montreal, 45.5017, -73.5673
Melbourne, -37.8136, 144.9631
San Diego, 32.7157, -117.1611
Tel Aviv, 32.0853, 34.7818
Taipei, 25.0330, 121.5654
Munich, 48.1351, 11.5820
Hamburg, 53.5511, 9.9937
Cape Town, -33.9249, 18.4241
Helsinki, 60.1699, 24.9384
Osaka, 34.6937, 135.5023
Manila, 14.5995, 120.9842
Johannesburg, -26.2041, 28.0473
Bogotá, 4.7110, -74.0721
Kyiv, 50.4501, 30.5234
Santiago, -33.4489, -70.6693
Riyadh, 24.7136, 46.6753
Boston, 42.3601, -71.0589
São Paulo, -23.5505, -46.6333
Houston, 29.7604, -95.3698
Hamburg, 53.5511, 9.9937
Edinburgh, 55.9533, -3.1883
Nairobi, -1.2921, 36.8219
Lima, -12.0464, -77.0428
Hanoi, 21.0278, 105.8342
Casablanca, 33.5731, -7.5898
Kuwait City, 29.3759, 47.9774
Seattle, 47.6062, -122.3321
Bangalore, 12.9716, 77.5946
Lyon, 45.7640, 4.8357
Guangzhou, 23.1291, 113.2644
Doha, 25.2854, 51.5310
Rotterdam, 51.9244, 4.4777
Shenzhen, 22.5431, 114.0579
Riga, 56.9496, 24.1052
Bucharest, 44.4268, 26.1025
Sofia, 42.6977, 23.3219
Reykjavik, 64.1265, -21.8174
Tbilisi, 41.7151, 44.8271
Baku, 40.4093, 49.8671
Marseille, 43.2965, 5.3698
Antwerp, 51.2194, 4.4025
Adelaide, -34.9285, 138.6007
Porto, 41.1579, -8.6291
Gothenburg, 57.7089, 11.9746
Valencia, 39.4699, -0.3763
Krakow, 50.0647, 19.9450
Cologne, 50.9375, 6.9603
Nice, 43.7102, 7.2620
Edinburgh, 55.9533, -3.1883
Cardiff, 51.4816, -3.1791
Bratislava, 48.1486, 17.1077
Ljubljana, 46.0569, 14.5058
Tallinn, 59.4370, 24.7536
Vilnius, 54.6872, 25.2797
Zagreb, 45.8150, 15.9819
Skopje, 41.9973, 21.4280
